 j, initial, exact, minmod1, superbee, Lax-wendroff
  -1.99999996E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   0.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   1.99999996E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   3.99999991E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   5.99999987E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   7.99999982E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   9.99999940E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.119999997     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.140000001     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.159999996     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.179999992     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.199999988     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.219999999     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.239999995     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.259999990     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.280000001     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.299999982     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.319999993     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  0.340000004     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.999999881     ,  0.999998569    
  0.359999985     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.999999106     ,   1.00002122    
  0.379999995     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000739     ,  0.999803543    
  0.399999976     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00002706     ,   1.00113976    
  0.419999987     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00012445     ,  0.996200144    
  0.439999998     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.999444962     ,   1.00454640    
  0.459999979     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.997663081     ,   1.01170015    
  0.479999989     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.997045040     ,  0.965994358    
  0.500000000     ,   0.00000000     ,   1.00000000     ,  0.999902248     ,   1.01470399     ,  0.967664480    
  0.519999981     ,   0.00000000     ,   1.00000000     ,  0.997917891     ,   1.04544568     ,   1.10478187    
  0.539999962     ,   0.00000000     ,   1.00000000     ,  0.980192780     ,   1.05063844     ,   1.16916537    
  0.560000002     ,   0.00000000     ,   1.00000000     ,  0.889166355     ,  0.907152772     ,  0.943813503    
  0.579999983     ,   0.00000000     ,   1.00000000     ,  0.621711075     ,  0.605620563     ,  0.543704033    
  0.599999964     ,   0.00000000     ,   1.00000000     ,  0.325112581     ,  0.285139889     ,  0.219021440    
  0.620000005     ,   0.00000000     ,   0.00000000     ,  0.134483337     ,   7.87689686E-02 ,   6.03647158E-02
  0.639999986     ,   0.00000000     ,   0.00000000     ,   4.17480469E-02 ,   1.58110689E-02 ,   1.08704148E-02
  0.659999967     ,   0.00000000     ,   0.00000000     ,   8.78906250E-03 ,   2.22894084E-03 ,   1.15486700E-03
  0.680000007     ,   0.00000000     ,   0.00000000     ,   9.76562500E-04 ,   1.78559683E-04 ,   5.49936667E-05
  0.699999988     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.719999969     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.740000010     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.759999990     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.779999971     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.799999952     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.819999993     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.839999974     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.859999955     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.879999995     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.899999976     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.919999957     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.939999998     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.959999979     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  0.979999959     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
   1.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
