 x(m), density, u, p, T
  -2.01337790     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  -2.00000000     ,   4.41070509     ,   0.00000000     ,   5.00000000     ,   399.999969    
  -1.98662210     ,   4.41070509     ,   0.00000000     ,   5.00000000     ,   399.999969    
  -1.97324419     ,   4.41070509     ,   0.00000000     ,   5.00000000     ,   399.999969    
  -1.95986617     ,   4.41070509     ,   0.00000000     ,   4.99999952     ,   399.999969    
  -1.94648826     ,   4.41070509     ,   0.00000000     ,   4.99999952     ,   399.999969    
  -1.93311036     ,   4.41070509     ,   0.00000000     ,   4.99999952     ,   399.999969    
  -1.91973245     ,   4.41070509     ,   0.00000000     ,   4.99999952     ,   399.999969    
  -1.90635455     ,   4.41070509     ,   0.00000000     ,   4.99999952     ,   399.999969    
  -1.89297664     ,   4.41070509     ,   1.76702342E-05 ,   4.99999952     ,   399.999969    
  -1.87959862     ,   4.41070461     ,   5.30107027E-05 ,   4.99999857     ,   399.999939    
  -1.86622071     ,   4.41070366     ,   1.50197026E-04 ,   4.99999714     ,   399.999878    
  -1.85284281     ,   4.41070175     ,   3.71075148E-04 ,   4.99999332     ,   399.999756    
  -1.83946490     ,   4.41069651     ,   7.77491776E-04 ,   4.99998665     ,   399.999664    
  -1.82608700     ,   4.41068745     ,   1.58149225E-03 ,   4.99997187     ,   399.999359    
  -1.81270897     ,   4.41067076     ,   3.04813893E-03 ,   4.99994612     ,   399.998810    
  -1.79933107     ,   4.41064215     ,   5.75174298E-03 ,   4.99989939     ,   399.997650    
  -1.78595316     ,   4.41058779     ,   1.06465984E-02 ,   4.99981403     ,   399.995758    
  -1.77257526     ,   4.41049147     ,   1.94470324E-02 ,   4.99966002     ,   399.992188    
  -1.75919735     ,   4.41031837     ,   3.52463722E-02 ,   4.99938440     ,   399.985809    
  -1.74581945     ,   4.41000795     ,   6.33931458E-02 ,   4.99889326     ,   399.974670    
  -1.73244143     ,   4.40945816     ,  0.113254033     ,   4.99802303     ,   399.954895    
  -1.71906352     ,   4.40849447     ,  0.200834498     ,   4.99649429     ,   399.919983    
  -1.70568562     ,   4.40689182     ,  0.346627414     ,   4.99395180     ,   399.861816    
  -1.69230771     ,   4.40437746     ,  0.575479209     ,   4.98996258     ,   399.770508    
  -1.67892981     ,   4.40063715     ,  0.915968776     ,   4.98403025     ,   399.634613    
  -1.66555190     ,   4.39534950     ,   1.39768672     ,   4.97564983     ,   399.442596    
